no,id_wa,tanggal_daftar,nama_wilayah_adat,provinsi,kabupaten_kota,kecamatan,peta,status,kebijakan,url_detail
1,bWhXOTlNZUFjUm8,03 Jun 2025,Pau Lipu Tano Tuu,Sulawesi Tengah,BANGGAI KEPULAUAN,Liang,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/bWhXOTlNZUFjUm8
2,MlhHdkxCakoxUmM,23 Mei 2025,Lipu Linte,Sulawesi Tengah,TOJO UNA-UNA,Ulubongka,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/MlhHdkxCakoxUmM
3,LXVDVnV0SU9iMEE,14 Apr 2025,Bumi Agung Marga,Lampung,LAMPUNG UTARA,Abung Timur dan Kotabumi Utara,Tidak Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/LXVDVnV0SU9iMEE
4,b21fMWhXYV9oSnc,19 Mar 2025,Tempayung Sekayu Darat,Kalimantan Tengah,KOTAWARINGIN BARAT,Kotawaringin Lama,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/b21fMWhXYV9oSnc
5,Q19GNFVmSDhLV2M,01 Okt 2025,Bilabanggai,Sulawesi Tengah,BANGGAI KEPULAUAN,Buko Selatan,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/Q19GNFVmSDhLV2M
6,Q19GNFVmSDhLV2M,01 Okt 2025,Bilabanggai,Sulawesi Tengah,BANGGAI KEPULAUAN,Buko Selatan,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/Q19GNFVmSDhLV2M
7,UVJzM2pGU2ROeHM,24 Feb 2025,Lipu Kadupang Sampekonan,Sulawesi Tengah,BANGGAI KEPULAUAN,Peling Tengah,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/UVJzM2pGU2ROeHM
8,aTlUcmthcHZLc0U,07 Okt 2024,Depati Muaro Langkap,Jambi,KERINCI,Batang Merangin,Tidak Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/aTlUcmthcHZLc0U
9,RGJ2c1FUSFRhOXM,06 Feb 2025,Tulou Bulusu Mogong Telembunan,Kalimantan Utara,BULUNGAN,Sekatak,Tidak Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/RGJ2c1FUSFRhOXM
10,TFhaMm8xeHBtb1k,20 Nop 2024,Lipu Tanga Sesea,Sulawesi Tengah,BANGGAI KEPULAUAN,Bulagi Selatan,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/TFhaMm8xeHBtb1k
11,bUJDYjlOcENyaUk,06 Feb 2025,Lipu Kaumbol,Sulawesi Tengah,BANGGAI KEPULAUAN,Bulagi,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/bUJDYjlOcENyaUk
12,RjBZWGN1MnBuejA,23 Jan 2025,Dayak Ot Danum Sungoi Talunei Lowu Tumbang Kawei,Kalimantan Tengah,KATINGAN,Sanaman Mantikei,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/RjBZWGN1MnBuejA
13,UU5fdHFoUnBONGM,23 Jan 2025,Dayak Ot Danum Sungoi Talunei Lowu Tumbang Mangara,Kalimantan Tengah,KATINGAN,Sanaman Mantikei,Ada,Teregistrasi,Tidak Ada,https://brwa.or.id/wa/view/UU5fdHFoUnBONGM
14,V3ZLMVF3cmtRUEU,07 Okt 2024,Depati Duo Nenek,Jambi,KERINCI,-,Tidak Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/V3ZLMVF3cmtRUEU
15,TnY3Nkc5WFZGV3M,07 Okt 2024,Depati Atur Bumi,Jambi,KERINCI,-,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/TnY3Nkc5WFZGV3M
16,cG1BU2xPU3JUdTQ,07 Okt 2024,Depati Payung,Jambi,KERINCI,-,Tidak Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/cG1BU2xPU3JUdTQ
17,VXZfSTg0R0JGZmM,23 Des 2024,Wewengkon Adat Sancang,Jawa Barat,GARUT,Cibalong,Ada,Terverifikasi,Tidak Ada,https://brwa.or.id/wa/view/VXZfSTg0R0JGZmM
18,b2FNSVNLVTFwNTA,23 Des 2024,Depati Intan,Jambi,KERINCI,"Siulak Mukai,Gunung Kerinci,Kayu Aro,Kayu Aro Barat,Gunung Tujuh",Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/b2FNSVNLVTFwNTA
19,ekpTUmtoRG54MUU,21 Des 2024,Koto Payung Semurup Tinggi,Jambi,KERINCI,Air Hangat Barrat,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/ekpTUmtoRG54MUU
20,R1dGYkZxcW56cTQ,10 Des 2024,Dayak Siang (Siank) Lowu Cangkang,Kalimantan Tengah,MURUNG RAYA,Tanah Siang,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/R1dGYkZxcW56cTQ
21,cHd2bGZ3aFhVbjA,07 Okt 2024,Tulou Bulusu Alung Kendari,Kalimantan Utara,BULUNGAN,Sekatak,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/cHd2bGZ3aFhVbjA
22,cmZkQTdOY3JQd0E,13 Okt 2024,Runuang Bulusu Jalai Kampung Bunau,Kalimantan Utara,BULUNGAN,Sekatak,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/cmZkQTdOY3JQd0E
23,MEtwZmdMaFlIVEE,14 Okt 2024,Runuang Bulusu Sawui Kelincauan,Kalimantan Utara,BULUNGAN,Sekatak,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/MEtwZmdMaFlIVEE
24,TUN6M28yNTE4SGc,13 Okt 2024,Runuang Bulusu Tala' Anjar Arip,Kalimantan Utara,BULUNGAN,Sekatak,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/TUN6M28yNTE4SGc
25,djRIb21Hdm10SW8,13 Okt 2024,Runuang Bulusu Pungit - Punan Merungou,Kalimantan Utara,BULUNGAN,Sekatak,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/djRIb21Hdm10SW8
26,ZXBIdlJMLUQ4Wlk,14 Okt 2024,Tulou Bulusu Pentian,Kalimantan Utara,BULUNGAN,Sekatak,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/ZXBIdlJMLUQ4Wlk
27,YWMxcWhpWEVDcUU,14 Okt 2024,Runuang Bulusu Rayo Bekiliu,Kalimantan Utara,BULUNGAN,Sekatak,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/YWMxcWhpWEVDcUU
28,eVFNQ2ZsRHQxM2M,06 Sep 2024,Bulusu Rayo Kampung Kelising,Kalimantan Utara,BULUNGAN,Sekatak,Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/eVFNQ2ZsRHQxM2M
29,R1JPNmZ6ZTBhTGs,27 Ags 2024,Sub Suku Nakna,Papua Barat,SORONG SELATAN,Konda,Tidak Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/R1JPNmZ6ZTBhTGs
30,UHM0bUVRZTZlY2s,27 Ags 2024,Keret Sub Suku Gemna,Papua Barat,SORONG SELATAN,KONDA,Tidak Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/UHM0bUVRZTZlY2s
31,OVlSNVlMSjVlcHc,27 Ags 2024,Sub Suku Yaben,Papua Barat,SORONG SELATAN,Konda,Tidak Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/OVlSNVlMSjVlcHc
32,TkZSaUpnVzZiVVU,30 Jul 2024,Kampung Firiwage,Papua,BOVEN DIGOEL,Firiwage,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/TkZSaUpnVzZiVVU
33,cERPM21aNkFjWHc,27 Ags 2024,Kampung Senimburu,Papua,BOVEN DIGOEL,Kombay,Ada,Terverifikasi,Ada,https://brwa.or.id/wa/view/cERPM21aNkFjWHc
34,enJ0MEswdmNxZGc,30 Jul 2024,Bulusu Tala' Kampung Ambalat,Kalimantan Utara,BULUNGAN,Sekatak,Tidak Ada,Teregistrasi,Ada,https://brwa.or.id/wa/view/enJ0MEswdmNxZGc
